id,input,expected_output,topic,difficulty,age_group
1,株式と債券の違いを教えてください。,株式は企業の所有権の一部を購入することで、企業の成長に伴い価値が上がる可能性があります。一方、債券は企業や政府にお金を貸すことで、定期的に利息を受け取り満期に元本が返ってきます。株式はリスクが高い分リターンも大きく、債券は安定しているが利回りは低めです。,stocks_vs_bonds,beginner,18-25
2,ETFとは何ですか？なぜ若者に向いているのでしょうか？,ETF（上場投資信託）は、複数の株式や債券をまとめてパッケージ化した金融商品で、株式のように証券取引所で売買できます。少額から分散投資できるためコストが低く、初心者でも始めやすい点が若者に向いています。,etf,beginner,18-25
3,複利の仕組みを小学生にもわかるように説明してください。,複利とは、元のお金に利息が付き、さらにその利息にも利息が付く仕組みです。たとえば1000円が毎年10%増えると、1年後は1100円、2年後は1210円と雪だるま式に増えていきます。若いうちから始めるほど効果が大きくなります。,compound_interest,beginner,18-25
4,毎月いくら投資に回すべきですか？社会人1年目です。,まずは生活費3〜6ヶ月分の貯蓄を確保した上で、手取り収入の10〜15%を目安に投資に回すのがおすすめです。無理のない金額から始め、積立NISAなどの税制優遇制度を活用しましょう。,budgeting,beginner,18-25
5,ドルコスト平均法とはどういう戦略ですか？,ドルコスト平均法とは、毎月一定額を定期的に投資する方法です。価格が高いときは少なく、安いときは多く買えるため、平均購入単価を抑える効果があります。市場のタイミングを読む必要がなく、長期投資に向いた戦略です。,investment_strategy,intermediate,18-25
6,積立NISAとiDeCoの違いを教えてください。,積立NISAは年間40万円まで投資でき運用益が最大20年間非課税になる制度です。iDeCoは老後資金専用で掛け金が全額所得控除になりますが、60歳まで引き出せません。若いうちはまず積立NISAから始めて、余裕があればiDeCoも活用するのがおすすめです。,retirement_accounts,intermediate,18-25
7,インデックスファンドとアクティブファンドどちらがいいですか？,インデックスファンドは市場全体に連動するよう設計されており、低コストで長期的に安定したリターンが期待できます。アクティブファンドは専門家が銘柄を選ぶため手数料が高く、市場平均を上回ることは難しいとされています。初心者にはインデックスファンドが向いています。,investment_strategy,intermediate,26-35
8,奨学金を返しながら投資を始めるのはアリですか？,奨学金の金利が低い場合（1〜2%程度）は、投資と並行して返済するのが有効です。一方、金利が高い場合は先に返済を優先した方が確実です。まずは奨学金の金利を確認し、積立NISAなど少額から始める方法を検討しましょう。,debt_vs_investing,intermediate,18-25
9,株価が下がったときはどうすればいいですか？,長期投資が目的なら、株価の下落は「安く買えるチャンス」と捉えることが大切です。感情的に売却するのではなく、積立を続けることで平均購入単価を下げられます。ただし生活費を投資に回していないか確認することも重要です。,investment_strategy,beginner,18-25
10,リスク分散とはどういう意味ですか？,リスク分散とは、一つの投資先に集中せず複数の資産や地域に分けて投資することで、損失のリスクを軽減する考え方です。たとえば国内株・海外株・債券を組み合わせることで、一つが下がっても他でカバーできます。,diversification,beginner,18-25
11,20代で老後の資金を考えるのは早すぎますか？,20代から老後の準備を始めることは非常に合理的です。複利の効果により、早く始めるほど少ない元本で大きな資産を築けます。iDeCoや積立NISAを活用して、毎月少額でも積み立てを始めることをおすすめします。,retirement_accounts,beginner,18-25
12,配当金とはなんですか？,配当金とは、企業が利益の一部を株主に分配するお金のことです。保有している株数に応じて定期的に受け取れます。安定した配当を出す企業の株は「配当株」と呼ばれ、長期保有による収入源として人気があります。,stocks_vs_bonds,beginner,18-25
